win,lose,probability,average,accuracy,accuracy with average,result_guess
Milwaukee Bucks,Atlanta Hawks,0.5223,0.6947,0.6244,0.6595,0
Miami Heat,Portland Trail Blazers,0.8503,0.6947,0.6244,0.6595,1
Chicago Bulls,Toronto Raptors,0.586,0.6947,0.6244,0.6595,0
Memphis Grizzlies,Boston Celtics,0.559,0.6947,0.6244,0.6595,0
Minnesota Timberwolves,New York Knicks,0.6468,0.6947,0.6244,0.6595,0
Denver Nuggets,San Antonio Spurs,0.6311,0.6947,0.6244,0.6595,0
Dallas Mavericks,Brooklyn Nets,0.7459,0.6947,0.6244,0.6595,1
Golden State Warriors,Sacramento Kings,0.9011,0.6947,0.6244,0.6595,1
Utah Jazz,Los Angeles Lakers,0.7411,0.6947,0.6244,0.6595,1
Los Angeles Clippers,Cleveland Cavaliers,0.519,0.6947,0.6244,0.6595,0
Dallas Mavericks,Orlando Magic,0.8701,0.6947,0.6244,0.6595,1
Charlotte Hornets,Portland Trail Blazers,0.7483,0.6947,0.6244,0.6595,1
Denver Nuggets,Indiana Pacers,0.7672,0.6947,0.6244,0.6595,1
Atlanta Hawks,Utah Jazz,0.5104,0.6947,0.6244,0.6595,0
Boston Celtics,Detroit Pistons,0.9165,0.6947,0.6244,0.6595,1
Brooklyn Nets,New York Knicks,0.6074,0.6947,0.6244,0.6595,0
Toronto Raptors,Houston Rockets,0.9136,0.6947,0.6244,0.6595,1
Chicago Bulls,New Orleans Pelicans,0.7503,0.6947,0.6244,0.6595,1
Phoenix Suns,Minnesota Timberwolves,0.5445,0.6947,0.6244,0.6595,0
Milwaukee Bucks,Oklahoma City Thunder,0.8305,0.6947,0.6244,0.6595,1
Memphis Grizzlies,San Antonio Spurs,0.6967,0.6947,0.6244,0.6595,1
Los Angeles Clippers,Los Angeles Lakers,0.6581,0.6947,0.6244,0.6595,0
Cleveland Cavaliers,Sacramento Kings,0.7259,0.6947,0.6244,0.6595,1
Dallas Mavericks,Washington Wizards,0.6734,0.6947,0.6244,0.6595,1
Philadelphia 76ers,Atlanta Hawks,0.5511,0.6947,0.6244,0.6595,0
Miami Heat,Charlotte Hornets,0.7288,0.6947,0.6244,0.6595,1
New Orleans Pelicans,Portland Trail Blazers,0.613,0.6947,0.6244,0.6595,0
Boston Celtics,Denver Nuggets,0.6953,0.6947,0.6244,0.6595,1
Phoenix Suns,Orlando Magic,0.864,0.6947,0.6244,0.6595,1
New York Knicks,Detroit Pistons,0.8213,0.6947,0.6244,0.6595,1
Toronto Raptors,Oklahoma City Thunder,0.7891,0.6947,0.6244,0.6595,1
Milwaukee Bucks,San Antonio Spurs,0.7054,0.6947,0.6244,0.6595,1
Memphis Grizzlies,Minnesota Timberwolves,0.688,0.6947,0.6244,0.6595,1
Golden State Warriors,Cleveland Cavaliers,0.7215,0.6947,0.6244,0.6595,1
Los Angeles Lakers,Sacramento Kings,0.7206,0.6947,0.6244,0.6595,1
Los Angeles Clippers,Brooklyn Nets,0.5929,0.6947,0.6244,0.6595,0
Utah Jazz,Washington Wizards,0.6046,0.6947,0.6244,0.6595,0
Boston Celtics,Detroit Pistons,0.8624,0.6947,0.6244,0.6595,1
Toronto Raptors,Indiana Pacers,0.7788,0.6947,0.6244,0.6595,1
Philadelphia 76ers,Atlanta Hawks,0.7088,0.6947,0.6244,0.6595,1
Miami Heat,Charlotte Hornets,0.7288,0.6947,0.6244,0.6595,1
Dallas Mavericks,Portland Trail Blazers,0.8452,0.6947,0.6244,0.6595,1
New Orleans Pelicans,Houston Rockets,0.8151,0.6947,0.6244,0.6595,1
New York Knicks,Oklahoma City Thunder,0.8097,0.6947,0.6244,0.6595,1
Cleveland Cavaliers,Minnesota Timberwolves,0.6232,0.6947,0.6244,0.6595,0
Memphis Grizzlies,Washington Wizards,0.6258,0.6947,0.6244,0.6595,0
Philadelphia 76ers,Utah Jazz,0.6407,0.6947,0.6244,0.6595,0
Chicago Bulls,Denver Nuggets,0.6019,0.6947,0.6244,0.6595,0
Golden State Warriors,Sacramento Kings,0.8214,0.6947,0.6244,0.6595,1
Brooklyn Nets,Los Angeles Lakers,0.5025,0.6947,0.6244,0.6595,0
Toronto Raptors,Detroit Pistons,0.808,0.6947,0.6244,0.6595,1
Charlotte Hornets,Orlando Magic,0.7869,0.6947,0.6244,0.6595,1
Boston Celtics,Oklahoma City Thunder,0.9104,0.6947,0.6244,0.6595,1
Miami Heat,Phoenix Suns,0.6097,0.6947,0.6244,0.6595,0
Los Angeles Clippers,Houston Rockets,0.8181,0.6947,0.6244,0.6595,1
Milwaukee Bucks,Atlanta Hawks,0.6947,0.6947,0.6244,0.6595,1
Golden State Warriors,San Antonio Spurs,0.8666,0.6947,0.6244,0.6595,1
Memphis Grizzlies,New Orleans Pelicans,0.6623,0.6947,0.6244,0.6595,1
Dallas Mavericks,Los Angeles Clippers,0.7381,0.6947,0.6244,0.6595,1
Utah Jazz,New York Knicks,0.7082,0.6947,0.6244,0.6595,1
Portland Trail Blazers,San Antonio Spurs,0.5644,0.6947,0.6244,0.6595,0
Brooklyn Nets,Sacramento Kings,0.6624,0.6947,0.6244,0.6595,1
