Wteam,Lteam,Wloc
New York Knicks,San Antonio Spurs,V
Los Angeles Lakers,Boston Celtics,H
Philadelphia 76ers,Charlotte Hornets,V
Cleveland Cavaliers,Chicago Bulls,H
Washington Wizards,Detroit Pistons,V
Indiana Pacers,New York Knicks,H
Miami Heat,Milwaukee Bucks,H
Oklahoma City Thunder,Toronto Raptors,V
Houston Rockets,Brooklyn Nets,H
Dallas Mavericks,Memphis Grizzlies,V
Utah Jazz,Minnesota Timberwolves,V
Denver Nuggets,New Orleans Pelicans,V
Golden State Warriors,Portland Trail Blazers,H
Sacramento Kings,Orlando Magic,H
Los Angeles Clippers,Boston Celtics,H
Utah Jazz,Philadelphia 76ers,V
Memphis Grizzlies,Los Angeles Lakers,H
San Antonio Spurs,Denver Nuggets,H
Charlotte Hornets,Sacramento Kings,H
Indiana Pacers,Dallas Mavericks,H
Brooklyn Nets,Atlanta Hawks,V
Toronto Raptors,New York Knicks,H
Milwaukee Bucks,Houston Rockets,V
Cleveland Cavaliers,Minnesota Timberwolves,V
New Orleans Pelicans,Detroit Pistons,H
Los Angeles Lakers,Oklahoma City Thunder,V
Phoenix Suns,Boston Celtics,H
Los Angeles Clippers,Orlando Magic,H
Utah Jazz,Washington Wizards,V
Cleveland Cavaliers,Sacramento Kings,H
Memphis Grizzlies,Houston Rockets,H
Miami Heat,Chicago Bulls,H
Philadelphia 76ers,Golden State Warriors,H
Denver Nuggets,San Antonio Spurs,V
Milwaukee Bucks,New York Knicks,V
Brooklyn Nets,Detroit Pistons,V
Dallas Mavericks,Oklahoma City Thunder,V
San Antonio Spurs,New Orleans Pelicans,H
Minnesota Timberwolves,Portland Trail Blazers,V
Los Angeles Lakers,Orlando Magic,H
Cleveland Cavaliers,Miami Heat,H
Golden State Warriors,Indiana Pacers,V
Toronto Raptors,Sacramento Kings,H
Houston Rockets,Atlanta Hawks,V
Boston Celtics,Milwaukee Bucks,H
Memphis Grizzlies,Philadelphia 76ers,H
Dallas Mavericks,Charlotte Hornets,H
Denver Nuggets,Washington Wizards,H
Los Angeles Clippers,Phoenix Suns,H
Brooklyn Nets,Toronto Raptors,H
Golden State Warriors,New York Knicks,V
Phoenix Suns,Portland Trail Blazers,V
Cleveland Cavaliers,Houston Rockets,H
Atlanta Hawks,Orlando Magic,V
Miami Heat,Philadelphia 76ers,V
Los Angeles Lakers,Dallas Mavericks,V
Milwaukee Bucks,Indiana Pacers,H
New Orleans Pelicans,Oklahoma City Thunder,V
Charlotte Hornets,San Antonio Spurs,V
Minnesota Timberwolves,Denver Nuggets,V
Memphis Grizzlies,Portland Trail Blazers,V
Sacramento Kings,Washington Wizards,H
Utah Jazz,Los Angeles Clippers,H
Indiana Pacers,Detroit Pistons,H
Brooklyn Nets,Philadelphia 76ers,H
New York Knicks,Houston Rockets,V
Phoenix Suns,Washington Wizards,H
Miami Heat,Orlando Magic,V
Denver Nuggets,Atlanta Hawks,V
Golden State Warriors,Boston Celtics,V
New Orleans Pelicans,Milwaukee Bucks,H
San Antonio Spurs,Utah Jazz,V
Minnesota Timberwolves,Los Angeles Lakers,H
Portland Trail Blazers,Charlotte Hornets,H
Memphis Grizzlies,Sacramento Kings,V
Houston Rockets,Detroit Pistons,V
Boston Celtics,New York Knicks,H
Orlando Magic,Brooklyn Nets,V
Toronto Raptors,Golden State Warriors,H
Oklahoma City Thunder,Los Angeles Clippers,H
Cleveland Cavaliers,Milwaukee Bucks,V
Washington Wizards,Utah Jazz,V
Detroit Pistons,Miami Heat,H
Portland Trail Blazers,Memphis Grizzlies,V
Sacramento Kings,San Antonio Spurs,H
Chicago Bulls,Los Angeles Lakers,H
Minnesota Timberwolves,Dallas Mavericks,H
Phoenix Suns,Charlotte Hornets,H
Philadelphia 76ers,Boston Celtics,V
Chicago Bulls,Houston Rockets,H
Oklahoma City Thunder,Memphis Grizzlies,V
Utah Jazz,Charlotte Hornets,H
Golden State Warriors,Sacramento Kings,H
San Antonio Spurs,Los Angeles Clippers,V
Miami Heat,Indiana Pacers,H
New York Knicks,Detroit Pistons,H
New Orleans Pelicans,Portland Trail Blazers,H
Dallas Mavericks,Minnesota Timberwolves,H
Phoenix Suns,Los Angeles Lakers,V
Orlando Magic,Atlanta Hawks,V
Boston Celtics,Cleveland Cavaliers,H
Milwaukee Bucks,Houston Rockets,H
Oklahoma City Thunder,Denver Nuggets,H
Los Angeles Clippers,Sacramento Kings,V
Indiana Pacers,Houston Rockets,H
New Orleans Pelicans,Orlando Magic,V
Atlanta Hawks,Philadelphia 76ers,V
Miami Heat,Detroit Pistons,H
Washington Wizards,New York Knicks,V
Milwaukee Bucks,Dallas Mavericks,V
Charlotte Hornets,Denver Nuggets,V
Phoenix Suns,Oklahoma City Thunder,H
Utah Jazz,Minnesota Timberwolves,H
Golden State Warriors,Memphis Grizzlies,H
San Antonio Spurs,Los Angeles Lakers,V
New York Knicks,Atlanta Hawks,H
Milwaukee Bucks,Boston Celtics,H
Golden State Warriors,Phoenix Suns,V
Brooklyn Nets,Los Angeles Lakers,V
Utah Jazz,Dallas Mavericks,H
Miami Heat,Orlando Magic,H
Cleveland Cavaliers,Toronto Raptors,H
Memphis Grizzlies,Sacramento Kings,V
Philadelphia 76ers,Washington Wizards,V
Oklahoma City Thunder,New Orleans Pelicans,H
San Antonio Spurs,Detroit Pistons,H
Chicago Bulls,Indiana Pacers,H
Denver Nuggets,Los Angeles Clippers,V
Charlotte Hornets,Houston Rockets,H
Chicago Bulls,Atlanta Hawks,V
Minnesota Timberwolves,Boston Celtics,H
Utah Jazz,San Antonio Spurs,V
Memphis Grizzlies,Phoenix Suns,V
Dallas Mavericks,Portland Trail Blazers,V
Brooklyn Nets,Los Angeles Clippers,V
Milwaukee Bucks,Orlando Magic,V
Miami Heat,Washington Wizards,H
Philadelphia 76ers,Toronto Raptors,V
Los Angeles Lakers,Houston Rockets,V
New York Knicks,Minnesota Timberwolves,V
New Orleans Pelicans,Cleveland Cavaliers,H
Denver Nuggets,Golden State Warriors,V
Sacramento Kings,Oklahoma City Thunder,H
New York Knicks,Detroit Pistons,V
Charlotte Hornets,Indiana Pacers,V
Los Angeles Clippers,Boston Celtics,V
Chicago Bulls,Atlanta Hawks,H
Memphis Grizzlies,Los Angeles Lakers,H
Phoenix Suns,Oklahoma City Thunder,H
Utah Jazz,Portland Trail Blazers,V
Sacramento Kings,Dallas Mavericks,H
Philadelphia 76ers,Brooklyn Nets,V
Milwaukee Bucks,Orlando Magic,V
Washington Wizards,Cleveland Cavaliers,H
Boston Celtics,Phoenix Suns,H
Chicago Bulls,Indiana Pacers,V
Dallas Mavericks,Sacramento Kings,V
Miami Heat,Houston Rockets,V
Atlanta Hawks,Cleveland Cavaliers,V
Toronto Raptors,Los Angeles Clippers,H
Memphis Grizzlies,San Antonio Spurs,H
Oklahoma City Thunder,New York Knicks,H
Utah Jazz,Minnesota Timberwolves,H
Los Angeles Lakers,Portland Trail Blazers,H
Milwaukee Bucks,New Orleans Pelicans,H
Detroit Pistons,San Antonio Spurs,H
Chicago Bulls,Washington Wizards,V
Los Angeles Clippers,Brooklyn Nets,V
Denver Nuggets,Houston Rockets,V
Golden State Warriors,Utah Jazz,V
Toronto Raptors,New York Knicks,H
Boston Celtics,Orlando Magic,H
Cleveland Cavaliers,Indiana Pacers,H
Sacramento Kings,Miami Heat,H
