Visitor/Neutral,PTS,Home/Neutral,PTS,Result (so far)
Atlanta Hawks,122,Houston Rockets,128,Houston Rockets
Brooklyn Nets,117,Indiana Pacers,128,Indiana Pacers
New Orleans Pelicans,111,Memphis Grizzlies,132,Memphis Grizzlies
Washington Wizards,107,Miami Heat,110,Miami Heat
Cleveland Cavaliers,102,Milwaukee Bucks,117,Milwaukee Bucks
Chicago Bulls,119,Oklahoma City Thunder,123,Oklahoma City Thunder
Los Angeles Lakers,105,San Antonio Spurs,94,Los Angeles Lakers
Detroit Pistons,102,Phoenix Suns,108,Phoenix Suns
Utah Jazz,118,Golden State Warriors,129,Golden State Warriors
Denver Nuggets,114,Los Angeles Clippers,104,Denver Nuggets
Dallas Mavericks,100,Toronto Raptors,105,Toronto Raptors
Oklahoma City Thunder,105,Houston Rockets,118,Houston Rockets
Los Angeles Lakers,143,San Antonio Spurs,138,Los Angeles Lakers
Utah Jazz,112,Phoenix Suns,113,Phoenix Suns
Portland Trail Blazers,97,Brooklyn Nets,111,Brooklyn Nets
Golden State Warriors,137,Minnesota Timberwolves,114,Golden State Warriors
Indiana Pacers,100,Los Angeles Clippers,114,Los Angeles Clippers
Miami Heat,106,Atlanta Hawks,98,Miami Heat
Washington Wizards,121,Boston Celtics,130,Boston Celtics
Cleveland Cavaliers,102,Detroit Pistons,94,Cleveland Cavaliers
Memphis Grizzlies,127,New York Knicks,123,Memphis Grizzlies
Philadelphia 76ers,133,Orlando Magic,103,Philadelphia 76ers
Dallas Mavericks,115,Milwaukee Bucks,124,Milwaukee Bucks
Atlanta Hawks,101,Philadelphia 76ers,104,Philadelphia 76ers
Minnesota Timberwolves,127,Washington Wizards,142,Washington Wizards
Charlotte Hornets,105,Boston Celtics,140,Boston Celtics
Orlando Magic,102,Brooklyn Nets,109,Brooklyn Nets
Cleveland Cavaliers,88,Toronto Raptors,100,Toronto Raptors
Oklahoma City Thunder,101,New Orleans Pelicans,105,New Orleans Pelicans
Houston Rockets,113,Denver Nuggets,129,Denver Nuggets
Chicago Bulls,114,Utah Jazz,107,Chicago Bulls
Phoenix Suns,122,Sacramento Kings,117,Phoenix Suns
